Торгівельне найменування,Міжнародне непатентоване найменування,Склад (діючі),Код АТС,Заявник: назва українською,Заявник: країна,Заявник: адреса,Виробник: назва українською,Виробник: країна,Виробник: адреса,Номер Реєстраційного посвідчення,Термін придатності: значення,Термін придатності: одиниця вимірювання,Допоміжні речовини,Діючі речовини,Посилання на медикамент
НЕРВИПЛЕКС-Н,Mono,"1 мл розчину містить «Есcенціальні фосфоліпіди»= EPL - субстанція (фосфоліпіди із соєвих бобів (93 % (3-sn-фосфатидил)холіну), які містять -токоферол, етанол 96 %) – 50 мг",A11D B,"ТОВ ""Санофі-Авентіс Україна""",Україна,"Україна, 01033, м. Київ, вул. Жилянська, 48-50А","АТ ""Галичфарм"" (пакування, маркування, контроль та випуск серії)",Україна,"Україна, 79024, м. Львів, вул. Опришківська, 6/8",UA/8626/01/01,3 роки,3,"лідокаїну гідрохлорид, спирт бензиловий, натрію поліфосфат, калію фериціанід, натрію гідроксид, вода для ін’єкцій","Тіаміну гідрохлорид, Піридоксину гідрохлорид, Ціанокобаламін",https://compendium.com.ua/dec/338664/
НЕРВОХЕЕЛЬ,Mono,"1 капсула містить «Ессенціальні фосфоліпіди»®= EPL® - субстанція /(фосфоліпіди із соєвих бобів ((3-sn-фосфатидил)холін), які містять аll-rac альфа-токоферол) – 300 м/",N05C M50**,"ТОВ ""Санофі-Авентіс Україна""",Україна,"Україна, 01033, м. Київ, вул. Жилянська, 48-50А","Ей. Наттерманн енд Сайі. ГмбХ (виробництво, первинне та вторинне пакування, контроль та випуск серій)",Німеччина,"Наттерманналея 1, Кельн, Нордрейн-Вестфален, 50829, Німеччина",UA/8682/01/01,3 роки.,3,,"Acidum phosphoricum D4, Kalium bromatum D4, Psorinum-Nodose D12, Sepia officinalis D4, Strychnos ignatii D4, Zincum isovalerianicum D4",https://compendium.com.ua/dec/267611/
НЕУРОБЕКС-ТЕВА,Comb drug,без рецепта,A11D B,,Наброс Фарма Пвт. Лтд.,Індія,1,Наброс Фарма Пвт. Лтд.,Індія,,3 роки,3,,"Тіаміну нітрат, Піридоксину гідрохлорид, Ціанокобаламін",https://compendium.com.ua/dec/272421/
НЕФАЛЬЖИК,Naftifine,1 г крему містить нафтифіну гідрохлориду у перерахуванні на 100 % суху речовину 10 мг,N02B G06,"АТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Кирилівська, 63","АТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Кирилівська, 74",UA/15944/01/01,3,рік,"натрію дигідрофосфат, дигідрат",Нефопаму гідрохлорид,https://compendium.com.ua/dec/271592/
НЕФАМ,Naftifine," по 1 флакону у пачці з картону",N02B G06,,,"АТ ""Фармак""","Україна, 04080, м. Київ, вул. Кирилівська, 63",1,"АТ ""Фармак""",,http://www.drlz.com.ua/ibp/lz_www.nsf/id/954693F4E0AFB6FAC22586990059F091/$file/UA147830101_051E.mht,2 роки,"натрію дигідрофосфат, дигідрат",нефопаму гідрохлорид,https://compendium.com.ua/dec/358939/
НЕФОПАМ-ЗДОРОВ`Я,Naftifine,1 мл спрею містить нафтифіну гідрохлориду у перерахуванні на 100 % суху речовину 10 мг,N02B G06,"ПАТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Фрунзе, 63","ПАТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Фрунзе, 74",UA/15499/01/01,2,рік,"натрію гідрофосфат, натрію дигідрофосфат безводний, вода для ін’єкцій",нефопаму гідрохлорид,https://compendium.com.ua/dec/348180/
НЕФРОДОЛ,Efavirenz,1 таблетка містить: ефавірензу 600 мг,G04B X50**,Гетеро Лабз Лімітед,Індія,"«Гетеро Корпорейт», 7-2-А2, Індастріал Естейтс, Санат Нагар, Хайдерабад – 500 018, Телангана, Індія",ГЕТЕРО ЛАБЗ ЛІМІТЕД,Індія,"Юніт III, Формулейшн Плот № 22 - 110 ІДА, Джидіметла, Хайдерабад, 500 055 Телангана, Індія",UA/1590/02/01,3,рік,крохмаль кукурудзяний,"Трава золототисячнику, Коріння любистку, Листя розмарину",https://compendium.com.ua/dec/265923/
НЕФРОТЕКТ,Estradiol,1 пластир розміром 20 см2 з середньою швидкістю вивільнення естрадіолу 50 мкг на добу містить естрадіолу 4 мг,B05B A01,Сандоз Фармасьютікалз д.д.,Словенія,"Веровшкова 57, 1000 Любляна, Словенія",Гексал АГ,Німеччина,"Індустріштрассе 25, Хольцкірхен, Баварія, 83607, Німеччина",UA/5035/01/01,2,рік,"кислота оцтова льодяна, яблучна кислота, вода для ін’єкцій","L-ізолейцин, L-лейцин, L-лізина моноацетат, L-метіонін, L-фенілаланін, L-треонін, L-валін, L-аргінін, L-гістидин, L-аланін, N-ацетил-L-цистеїн, Гліцин, L-пролін, L-Серин, L-тирозин",https://compendium.com.ua/dec/261805/
НЕФРОФІТ,Estradiol,"1 г гелю містить 0,6 мг естрадіолу (у вигляді естрадіолу гемігідрату)",G03CA03,Безен Хелскеа СА,Бельгія,"Авеню Луїз 287, 1050 Брюсcель, Бельгія",Делфарм Дрогенбос СА,Бельгія,"Грот-Бігарденштрат 128, 1620 Дрогенбос, Бельгiя",UA/4120/01/01,3,рік,,"Квітки бузини чорної, Листя подорожнику великого, Трава споришу звичайного, Трава хвощу польового, Трава грициків, Кукурудзяні рильця, Корені кульбаби, Корені лопуха, Листя мучниці, Листя м'яти перцевої, Квітки ромашки, Трава причепи",https://compendium.com.ua/dec/268130/
НИРКОВИЙ ЧАЙ,Guanfacine,"1 таблетка містить 1 мг гуанфацину (що відповідає 1,15 мг гуанфацину гідрохлориду)",C03B X10**,ЗАТ Фармацевтичний завод ЕГІС,Угорщина,"1106 м. Будапешт, вул. Керестурі, 30-38, Угорщина",ЗАТ Фармацевтичний завод ЕГІС,Угорщина,"1165, м. Будапешт, вул. Бекеньфелді 118-120, Угорщина",UA/9845/01/01,2,рік,,Листя ортосифону тичинкового,https://compendium.com.ua/dec/270844/
НІВАЛІН,Aescin*,"субстанція з плодів каштану кінського - Aesculum hippocastanum L., родини кінськокаштанових - Hippocastaneaceae, екстрагована етанолом 80 % (об/об) у співвідношенні 1:14-16 (сировина:екстракт). згущена, знежирена етилацетатом та очищена ацетоном, осаджена кислотою соляною концентрованою і отримана у співвідношенні (152-156:1);/есцину не менше 96,0 % і не більше 103,0 % в перерахуванні на безводний есцин",N06D A04,"ПАТ ""Галичфарм""",Україна,"Україна, 79024, м. Львів, вул. Опришківська, 6/8","ПАТ ""Галичфарм""",Україна,"Україна, 79024, м. Львів, вул. Опришківська, 6/8",UA/13700/01/01,2,рік,"лактози моногідрат, крохмаль пшеничний, целюлоза мікрокристалічна, магнію стеарат, тальк",Галантаміну гідробромід,https://compendium.com.ua/dec/267947/
НІГЕРСАН D5,Mono,"есцинової солі 2,6 - діаміногексанової кислоти не менше 95 % у перерахуванні на суху речовину",L03A X29**,"ПАТ ""Галичфарм""",Україна,"Україна, 79024, м. Львів, вул. Опришківська, 6/8","ПАТ ""Галичфарм""",Україна,"Україна, 79024, м. Львів, вул. Опришківська, 6/8",UA/9734/01/01,2,рік,"натрію хлорид, вода для ін?єкцій",Aspergillus niger D5,https://compendium.com.ua/dec/261707/
НІГІСЕМ,Escitalopram,1 таблетка містить есциталопраму 10 мг,G04B D08,Тева Фармацевтікал Індастріз Лтд.,Ізраїль,"вул. Базеля 5, а/с 3190, 49131 Петах Тіква, Ізраїль",ТОВ Тева Оперейшнз Поланд,Польща,"вул. Могильська 80, 31-546 Краків, Польща",UA/11732/01/02,3,рік,,Соліфенацину сукцинат,https://compendium.com.ua/dec/351635/
НІЗОРАЛ®,Escitalopram,1 таблетка містить есциталопраму 10 мг,D01A C08,"ТОВ ""Тева Україна""",Україна,"02152, м. Київ, проспект Павла Тичини, будинок 1в, поверх 9, Україна",ТОВ Тева Оперейшнз Поланд,Польща,"вул. Могильська 80, 31-546 Краків, Польща",UA/11732/01/02,3,рік,"натрію лаурил ефір сульфат, динатрію монолаурил ефір сульфосукцинат, діетаноламід жирної кокосової кислоти, колаген тваринний лаурдимонієвий гідролізований, макроголу 120-метилглюкози діолеат, натрію хлорид, кислота хлористоводнева концентрована, імідосечовина, букет парфумний, натрію гідроксид, натрію еритрозин (е127), вода очищена",Кетоконазол,https://compendium.com.ua/dec/275256/
НІКАРДІЯ® РЕТАРД,Escitalopram,1 таблетка містить есциталопраму 10 мг,C08C A05,"ТОВ ""Тева Україна""",Україна,"02152, м. Київ, проспект Павла Тичини, будинок 1в, поверх 9, Україна",ТОВ Тева Оперейшнз Поланд,Польща,"вул. Могильська 80, 31-546 Краків, Польща",UA/11732/01/02,3,рік,"гіпромелоза, целюлоза мікрокристалічна, лактоза, моногідрат, кальцію гідрофосфат, дигідрат, крохмаль кукурудзяний, магнію стеарат, Табкот ТС Оранжевий 2115",Ніфедипін,https://compendium.com.ua/dec/268632/
НІКЕТАМІД,Escitalopram,1 таблетка містить есциталопраму 15 мг,R07A B02,Тева Фармацевтікал Індастріз Лтд.,Ізраїль,"вул. Базеля 5, а/с 3190, 49131 Петах Тіква, Ізраїль",ТОВ Тева Оперейшнз Поланд,Польща,"вул. Могильська 80, 31-546 Краків, Польща",UA/11732/01/03,3,рік,вода для ін'єкцій,Нікетамід,https://compendium.com.ua/dec/268051/
НІКОМЕКС,Escitalopram,1 таблетка містить есциталопраму 15 мг,N07X X19**,"ТОВ ""Тева Україна""",Україна,"02152, м. Київ, проспект Павла Тичини, будинок 1в, поверх 9, Україна",ТОВ Тева Оперейшнз Поланд,Польща,"вул. Могильська 80, 31-546 Краків, Польща",UA/11732/01/03,3,рік,"натрію метабісульфіт (Е 223), вода для ін’єкцій
Лікарська форма
Розчин для ін’єкцій",Етилметилгідроксипіридину сукцинат,https://compendium.com.ua/dec/265947/
НІКОРЕЛЬ®,Escitalopram,1 таблетка містить есциталопраму 15 мг,C01D X16,"ТОВ ""Тева Україна""",Україна,"02152, м. Київ, проспект Павла Тичини, будинок 1в, поверх 9, Україна",ТОВ Тева Оперейшнз Поланд,Польща,"вул. Могильська 80, 31-546 Краків, Польща",UA/11732/01/03,3,рік,,Нікорандил,https://compendium.com.ua/dec/354747/
НІКОРЕТТЕ® ЗІ СМАКОМ СВІЖИХ ФРУКТІВ,Escitalopram,1 таблетка містить есциталопраму 20 мг,N07B A01,"ТОВ ""Тева Україна""",Україна,"02152, м. Київ, проспект Павла Тичини, будинок 1в, поверх 9, Україна",ТОВ Тева Оперейшнз Поланд,Польща,"вул. Могильська 80, 31-546 Краків, Польща",UA/11732/01/04,3,рік,"ядро: основа гумки жувальної, ксиліт, олія м’яти перцевої, натрію карбонат безводний, натрію гідрокарбонат (лише для дозування 2 мг), калію ацесульфам, левоментол, магнію оксид легкий, хіноліновий жовтий (Е 104) (лише для дозування 4 мг)",Нікотин,https://compendium.com.ua/dec/274186/
НІКОТИНОВА КИСЛОТА,Escitalopram,1 таблетка містить есциталопраму оксалату еквівалентно есциталопраму 20 мг,C04A C01,"Тедек-Мейджі Фарма, С.А.",Іспанія,"Шосе М-300, Км. 30,500, Алкала де Енарес, Мадрид, 28802, Іспанiя","Тедек-Мейджі Фарма, С.А.",Іспанія,"Шосе М-300, Км. 30,500, Алкала де Енарес, Мадрид, 28802, Іспанiя",UA/18101/01/02,3,рік,,Кислота нікотинова,https://compendium.com.ua/dec/267874/
НІКОТИНОВА КИСЛОТА-ДАРНИЦЯ,Escitalopram,"1 таблетка містить есциталопраму гідроген оксалату (12,775 мг) у перерахуванні на 10 мг есциталопраму",C04A C01,"ТОВ ""АСІНО УКРАЇНА""",Україна,"Україна, 03124, м. Київ, бульвар Вацлава Гавела, 8","Сінтон Хіспанія, С.Л. (виробництво, пакування, аналіз та випуск серій)",Іспанія,"К/Кастелло, № 1, Пол. Лас Салінас, Сант Боі де Ллобрегат, Барселона, 08830, Іспанія",UA/13207/01/01,2,рік,,Кислота нікотинова,https://compendium.com.ua/dec/267874/
НІКОТИНОВА КИСЛОТА (НІАЦИН),Escitalopram,"не менше 99,0 % і не більше 101,0 % есциталопраму оксалату, в перерахунку на безводну речовину",C04A C01,Гетеро Лабз Лімітед,Індія,"""Гетеро Корпорейт"", 7-2-А2, Індастріал Естейтс, Санат Нагар, Хайдерабад - 500 018, Індія",Гетеро Лабз Лімітед,Індія,"Сі .№10, І.Д.А., Гаддапотарам віледж, Джінарам Мандал, Сангаредді Дістрікт, Телангана Штат, Індія",UA/16504/01/01,3,рік,,Кислота нікотинова,https://compendium.com.ua/dec/267874/
НІКСАР®,Escitalopram,"есциталопраму оксалату не менше 99,0 % та не більше 101,0 %, у перерахунку на безводну речовину",R06A X29,"ТОВ ""Фарма Старт""",Україна,"Україна, 03124, м. Київ, бульвар Вацлава Гавела, будинок 8",Джубілант Дженерікс Лімітед,Індія,"№ 18, 56, 57 і 58, КІАДБ Індустріальна Зона Місор Район Індія-571 302 Нанджангуд, Карнатака, Індія",UA/18416/01/01,2,рік,"целюлоза мікрокристалічна, натрію крохмальгліколят (тип а), кремнію діоксид колоїдний безводний, магнію стеарат",Біластин,https://compendium.com.ua/dec/264776/
НІМЕДАР,Escitalopram,"есциталопраму оксалату не менше 98,0 % та не більше 101,0 % у перерахувані на суху речовину",M01A X17,"ТОВ ""Харківське фармацевтичне підприємство ""Здоров'я народу""",Україна,"Україна, 61013, м. Харків, вул Шевченка, 22",Хетеро Лабс Лімітед,Індія,"Сьорвей № 10. І.Д.А., Гаддапотарам, Джиннарам Мандал, Медак Дістрікт, Андхра Прадеш, Індія",UA/13626/01/01,4,рік,"поліетиленгліколю цетостеариловий ефір, мальтодекстрин, кислота лимонна безводна, ароматизатор апельсиновий, цукор кристалічний",Німесулід,https://compendium.com.ua/dec/266260/
НІМЕДАР®,Escitalopram,"1 таблетка містить есциталопраму гідроген оксалату 12,775 мг у перерахуванні на 10 мг есциталопраму",M01A X17,"ТОВ ""АСІНО УКРАЇНА""",Україна,"Україна, 03124, м. Київ, бульвар Вацлава Гавела, 8","ТОВ ""Фарма Старт"", Україна (фасування та пакування з форми in bulk фірми Сінтон Хіспанія, С.Л., Іспанія)",Україна,"Україна, 03124, м. Київ, бульвар Вацлава Гавела, 8",UA/13228/01/01,2,рік,"поліетиленгліколю цетостеариловий ефір, мальтодекстрин, кислота лимонна безводна, ароматизатор апельсиновий, цукор кристалічний",Німесулід,https://compendium.com.ua/dec/266260/
НІМЕЛГАН,Escitalopram,"1 таблетка містить есциталопраму гідроген оксалату 12,775 мг у перерахуванні на 10 мг есциталопраму",M01A X17,"ТОВ ""АСІНО УКРАЇНА""",Україна,"Україна, 03124, м. Київ, бульвар Вацлава Гавела, 8","ТОВ ""Фарма Старт"", Україна (фасування та пакування з форми in bulk фірми Сінтон Хіспанія, С.Л., Іспанія)",Україна,"Україна, 03124, м. Київ, бульвар Вацлава Гавела, 8",UA/13228/01/01,2,рік,,Німесулід,https://compendium.com.ua/dec/340538/
НІМЕСИН®,Escitalopram,"1 таблетка містить есциталопраму оксалату 12,775 мг у перерахуванні на есциталопрам 10 мг",M01A X17,"ТОВ ""АСІНО УКРАЇНА""",Україна,"Україна, 03124, м. Київ, бульвар Вацлава Гавела, 8","ТОВ ""Фарма Старт""",Україна,"Україна, 03124, м. Київ, бульвар Вацлава Гавела, 8",UA/15764/01/01,3,рік,"лактоза, моногідрат",Німесулід,https://compendium.com.ua/dec/275377/
НІМЕСУЛІД,Escitalopram,"1 таблетка містить есциталопраму оксалату 12,775 мг у перерахуванні на есциталопрам 10 мг",M01A X17,"ТОВ ""АСІНО УКРАЇНА""",Україна,"Україна, 03124, м. Київ, бульвар Вацлава Гавела, 8","ТОВ ""Фарма Старт""",Україна,"Україна, 03124, м. Київ, бульвар Вацлава Гавела, 8",UA/15764/01/01,3,рік,"лактоза, моногідрат",Німесулід,https://compendium.com.ua/dec/270471/
НІМЕСУЛІД-ФІТОФАРМ,Escitalopram,"1 таблетка містить есциталопраму оксалату 25,55 мг у перерахуванні на есциталопрам 20 мг",M01A X17,"ТОВ ""АСІНО УКРАЇНА""",Україна,"Україна, 03124, м. Київ, бульвар Вацлава Гавела, 8","ТОВ ""Фарма Старт""",Україна,"Україна, 03124, м. Київ, бульвар Вацлава Гавела, 8",UA/15764/01/02,3,рік,"лактоза, моногідрат",Німесулід,https://compendium.com.ua/dec/267626/
НІМІД®,Escitalopram,"1 таблетка містить есциталопраму оксалату 25,55 мг у перерахуванні на есциталопрам 20 мг",M01A X17,"ТОВ ""АСІНО УКРАЇНА""",Україна,"Україна, 03124, м. Київ, бульвар Вацлава Гавела, 8","ТОВ ""Фарма Старт""",Україна,"Україна, 03124, м. Київ, бульвар Вацлава Гавела, 8",UA/15764/01/02,3,рік,,Німесулід,https://compendium.com.ua/dec/272805/
НІМІД® ФОРТЕ,Ethambutol," по 120 таблеток у контейнері пластиковому",M01A X67**,"Протимікробні засоби для системного застосування. Засоби, що діють на мікобактерії. Протитуберкульозні засоби. Етамбутол.",J04AK02,,"Публічне акціонерне товариство ""Науково-виробничий центр ""Борщагівський хіміко-фармацевтичний завод""",Україна,"Україна, 03134, м. Київ, вул. Миру, 17",,,,,"Німесулід, Тизанідин",https://compendium.com.ua/dec/268965/
НІМОДИПІН,Ethambutol,1 таблетка містить етамбутолу гідрохлориду 400 мг,C08C A06,"ПрАТ ""Фармацевтична фірма ""Дарниця""",Україна,"Україна, 02093, м. Київ, вул. Бориспільська, 13","ПрАТ ""Фармацевтична фірма ""Дарниця""",Україна,"Україна, 02093, м. Київ, вул. Бориспільська, 13",UA/5716/01/01,3,рік,"повідон, целюлоза мікрокристалічна, крохмаль кукурудзяний, лактози моногідрат, кросповідон, магнію стеарат, гіпромеллоза, титану діоксид (е171), тартразин e102, макрогол 3000, триацетін, гліцерол триацетат, заліза оксид жовтий (е172), індигокармін (е132)",Німодипін,https://compendium.com.ua/dec/263253/
НІМОТОП®,Ethambutol,"1 таблетка, вкрита оболонкою містить: 400 мг етамбутолу гідрохлориду, що відповідає вимогам Британської фармакопеї",C08C A06,Свізера Юроп Б.В.,Нідерланди,"вул. Антеннештрат 84, м. Алмере, 1322 АС, Поштова скринька 60300, 1320 АЖ Алмере, Нідерланди",СВІЗЕРА ЛАБС ПРАЙВЕТ ЛІМІТЕД,Індія,"юридична адреса: Плот № Д-16/6, ТТС Індустріальна площа, MIDC, Турбх, Наві Мумбаі - 400 703, Індія;",UA/15373/01/01,5,рік,"спирт етиловий 96%, макрогол 400, натрію цитрат, кислота лимонна безводна, вода для ін’єкцій",Німодипін,https://compendium.com.ua/dec/268499/
НІСПАЗМ ФОРТЕ®,Ethambutol,"1 таблетка містить етамбутолу гідрохлориду - 100,00 мг",A03A D02,Маклеодс Фармасьютикалс Лімітед,Індія,"Атланта Аркаде, Марол Чарч Роад, Андхері (Іст), Мумбай - 400059, Індія",Маклеодс Фармасьютикалс Лімітед,Індія,"Фаза II, Плот № 25-27, Сюрвей № 366, Прем’єр Індастріал Істейт, Качигам, Даман - 396 210, Індія",UA/18262/01/01,24,місяць,"лактози моногідрат, крохмаль кукурудзяний, мальтодекстрин, магнію стеарат, натрію кроскармелоза, суміш для покриття Opadry® жовта 07F220004: гіпромелоза, титану діоксид (E171), тальк, сахарин натрію (Е954), макрогол 4000, барвник жовтий хіноліновий алюмінієвий лак (Е104), заліза оксид червоний (Е172)",Дротаверину гідрохлорид,https://compendium.com.ua/dec/338665/
НІСТАТИН,Ethambutol,"етамбутанолу гідрохлориду не менше 99,0 % та не більше 101,0 % у перерахунку на суху речовину",A07A A02,Люпін Лімітед,Індія,"Калпатару Інспайр, 3-й поверх, Офф Вестерн Експрес Хайвей, Сантакруз (Іст), Мумбай - 400 055, Індія",Люпін Лімітед,Індія,"Плот № - 9, 123, 123/1, 124 та 125 Джі.Ай.Ді.Сі. Істейт, Анкалешвар, Діст. - Бхарух - 393 002, Індія",UA/17251/01/01,5,рік,,Ністатин,https://compendium.com.ua/dec/273696/
НІСТАТИН-ЗДОРОВ'Я,Etamsylate,"етамзилату від 99,0 % до 101,0 % у перерахуванні на суху речовину",A07A A02,"ТОВ ""Дистриб'юторська компанія ""Фарматек""",Україна,"Україна, 07301, Київська область, Вишгородський район, місто Вишгород, вулиця Ватутіна, будинок 57А","Шаньдун Фанмін Фармасьютикал Груп Ко., Лтд",Китай,"Фанмін Дістрікт, Хуанхе Роуд, Дунмін Каунті, Шаньдун Провінс, Китай",UA/5673/01/01,4,рік,"целюлоза мікрокристалічна, повідон, натрію кроскармелоза, магнію стеарат",Ністатин,https://compendium.com.ua/dec/272888/
НІСТАТИНОВА МАЗЬ,Etamsylate,"від 99,0 % до 101,0 % етамзилату (в перерахунку на суху речовину)",A07A A02,"Товариство з обмеженою відповідальністю ""Дослідний завод ""ГНЦЛС""",Україна,"Україна, Харківська обл., місто Харків, вулиця Воробйова, будинок 8",ФСП ГАЛЕНА,Польща,"Дозунковa 10, 52-311 Вроцлав, Польща",UA/16295/01/01,4,рік,"целюлоза мікрокристалічна, повідон, натрію кроскармелоза, магнію стеарат",Ністатин,https://compendium.com.ua/dec/272888/
НІТОПІН,Etamsylate,1 мл розчину містить етамзилату 125 мг,C08C A06,"Товариство з обмеженою відповідальністю ""Дослідний завод ""ГНЦЛС""",Україна,"Україна, Харківська обл., місто Харків, вулиця Воробйова, будинок 8","Товариство з обмеженою відповідальністю ""Дослідний завод ""ГНЦЛС"" (контроль якості, випуск серії)",Україна,"Україна, Харківська обл., місто Харків, вулиця Воробйова, будинок 8",UA/5470/01/01,3,рік,"целюлоза мікрокристалічна, крохмаль кукурудзяний, полівідон, кросповідон, магнію стеарат",Німодипін,https://compendium.com.ua/dec/264764/
НІТРЕСАН®,Etamsylate,1 мл розчину містить етамзилату 125 мг,C08C A08,"ПрАТ ""Фармацевтична фірма ""Дарниця""",Україна,"Україна, 02093, м. Київ, вул. Бориспільська, 13","ПрАТ ""Фармацевтична фірма ""Дарниця""",Україна,"Україна, 02093, м. Київ, вул. Бориспільська, 13",UA/5717/01/01,3,рік,"лактози моногідрат, крохмаль кукурудзяний, целюлоза мікрокристалічна, магнію стеарат, повідон, натрію докузат",Нітрендипін,https://compendium.com.ua/dec/264073/
НІТРО-МІК®,Etamsylate,за рецептом,C01D A02,,"АТ ""КИЇВСЬКИЙ ВІТАМІННИЙ ЗАВОД""",Україна,1,"АТ ""КИЇВСЬКИЙ ВІТАМІННИЙ ЗАВОД""",Україна,,3 роки,3,"пропіленгліколь, етанол 96%, вода очищена",Нітрогліцерин,https://compendium.com.ua/dec/267323/
НІТРОГЛІЦЕРИН,Ethanol,"не менше 69,3 % об./об. і не більше 70,7 % об./об. етанолу та воду",C01D A02,"ПП ""Кілафф""",Україна,"Україна, 40035, Сумська обл., місто Суми, вулиця Харківська, будинок 6","ПП ""Кілафф""",Україна,"Україна, 40035, Сумська обл., місто Суми, вулиця Харківська, будинок 6",UA/12012/01/01,5,рік,"лактоза, моногідрат",Нітрогліцерин,https://compendium.com.ua/dec/260477/
НІТРОГЛІЦЕРИН-ЗДОРОВ'Я,Ethanol,"етанол; не менше 69,3% об/об і не більше 70,7% об/об етанолу та вода",C01D A02,"ТОВ ""Фарма Черкас""",Україна,"18007, Україна, Черкаська обл., місто Черкаси, вулиця Сурікова, будинок 14А","ТОВ ""Фарма Черкас""",Україна,"18007, Україна, Черкаська обл., м. Черкаси, вул. Сурікова, буд. 14А",UA/14597/01/01,5,рік,"целюлоза мікрокристалічна, крохмаль картопляний, повідон низькомолекулярний медичний, аеросил, магнію стеарат, аспартам, кросповідон, лактоза",Нітрогліцерин,https://compendium.com.ua/dec/260417/
НІТРОГРАНУЛОНГ,Ethanol,"етанол; не менше 95,1 % об/об (92,6 % м/м) і не більше 96,9 % об/об (95,2 % м/м) етанолу, а також вода",C01D A02,"ТОВ ""Фарма Черкас""",Україна,"18007, Україна, Черкаська обл., місто Черкаси, вулиця Сурікова, будинок 14А","ТОВ ""Фарма Черкас""",Україна,"18007, Україна, Черкаська обл., м. Черкаси, вул. Сурікова, буд. 14А",UA/14597/01/02,5,рік,"лактоза, желатин, крохмаль картопляний, тальк, магнію стеарат, повідон, цукор-рафінад, аеросил, титану діокис, макрогол 6000.,  лактоза, желатин, крохмаль картопляний, тальк, магнію стеарат, повідон, цукор-рафінад, аеросил, титану діокис, макрогол 6000",Нітрогліцерин,https://compendium.com.ua/dec/272317/
НІТРОКСОЛІН,Mometasone,1 доза спрею містить мометазону фуроату 50 мкг,J01X X07,УОРЛД МЕДИЦИН ОФТАЛЬМІКС ІЛАЧЛАРІ ЛТД. ШТІ.,Туреччина,"15 Теммуз Мах. Джамі Йолу Джад. №50 Кат.2, Багджилар, Стамбул, Туреччина",УОРЛД МЕДИЦИН ІЛАЧ САН. ВЕ ТІДЖ. А.Ш.,Туреччина,"15 Теммуз Махаллеші Джамі Йолу Джаддесі №50 Гюнешлі Багджилар/Стамбул, Туреччина",UA/16256/01/01,3,рік,,Нітроксолін,https://compendium.com.ua/dec/268715/
НІТРОМІНТ®,Mexidol*,"не менше 99,0 % та не більше 101,0 % етилметилгідроксипіридину сукцинату (у перерахунку на суху речовину)",C01D A02,"Товариство з обмеженою відповідальністю ""ФАРМХІМ""",Україна,"Україна, 41100, Сумська обл., м. Шостка, вул. Індустріальна, буд. 1","Товариство з обмеженою відповідальністю ""ФАРМХІМ""",Україна,"Україна, 41100, Сумська обл., м. Шостка, вул. Індустріальна, буд. 1",UA/16514/01/01,3,рік,пропіленгліколь,Нітрогліцерину розчин 1%,https://compendium.com.ua/dec/273074/
НІТРОСОРБІД,Mexidol*,"етилметилгідроксипіридину сукцинату не менше 99,0 % та не більше 101,0 %, у перерахунку на суху речовину",C01D A08,"ПрАТ ""Фармацевтична фірма ""Дарниця""",Україна,"Україна, 02093, м. Київ, вул. Бориспільська, 13","ТОВ ""Фармхім""",Україна,"Україна, 41100, Сумська обл., м. Шостка, вул. Індустріальна, буд.1",UA/16669/01/01,3,рік,"лактози моногідрат, кросповідон, кальцію стеарат",Ізосорбіду динітрат,https://compendium.com.ua/dec/271631/
НІТРОФУНГІН,Mexidol*,"етилметилгідроксипіридину сукцинату від 99,0 % до 101,0 %, в перерахунку на суху речовину",D01A E20,"ПАТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Фрунзе, 63","ПАТ ""Фармак""",Україна,"Україна, 41100, Сумська обл., м. Шостка, вул. Гагаріна, 1/174",UA/17508/01/01,3,рік,"триэтиленгликоль, етанол 96%, вода очищена",2-хлор-4-нітрофенол,https://compendium.com.ua/dec/261235/
НІФЕДИПІН,Mono,"етилового ефіру альфа-бромізовалеріанової кислоти не менше 98,0 %",C08C A05,"АТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Кирилівська, 63","АТ ""Фармак""",Україна,"Україна, 41100, м. Шостка, вул. Гагаріна, 1/174",UA/14901/01/01,21,місяць,"лактоза, крохмаль картопляний, целюлоза мікрокристалічна, повідон, натрію лаурилсульфат, промелоза, твін 80, титану діокис, макрогол 6000, тальк, тропеолін о або піразолоновий жовтий або хіноліновий жовтий е-104, магнію стеарат або кислота стеаринова.,  лактоза, крохмаль картопляний, целюлоза мікрокристалічна, повідон, натрію лаурилсульфат, промелоза, твін 80, титану діокис, макрогол 6000, тальк, тропеолін о або піразолоновий жовтий або хіноліновий жовтий е-104, магнію стеарат або кислота стеаринова",Ніфедипін,https://compendium.com.ua/dec/273818/
